Timestamp,Counts (50%)
2021-11-28T20_32_33,27
2021-11-28T20_47_33,28
2021-11-28T21_02_33,28
2021-11-28T21_17_33,26
2021-11-28T21_32_33,24
2021-11-28T21_47_33,24
2021-11-28T22_02_33,20
2021-11-28T22_17_33,19
2021-11-28T22_32_33,22
2021-11-28T22_47_33,21
2021-11-28T23_02_33,22
2021-11-28T23_17_33,21
2021-11-28T23_32_33,20
2021-11-28T23_47_33,17
2021-11-29T00_02_33,20
2021-11-29T00_17_33,18
2021-11-29T00_32_33,19
2021-11-29T00_47_33,19
2021-11-29T01_02_33,19
2021-11-29T01_17_33,16
2021-11-29T01_32_33,15
2021-11-29T01_47_33,18
2021-11-29T02_02_33,16
2021-11-29T02_17_33,15
2021-11-29T02_32_33,17
2021-11-29T02_47_33,17
2021-11-29T03_02_33,16
2021-11-29T03_17_33,14
2021-11-29T03_32_33,14
2021-11-29T03_47_33,14
2021-11-29T04_02_33,14
2021-11-29T04_17_33,13
2021-11-29T04_32_33,10
2021-11-29T04_47_33,12
2021-11-29T05_02_33,12
2021-11-29T05_17_33,12
2021-11-29T05_32_33,13
2021-11-29T05_47_33,13
2021-11-29T06_02_33,14
2021-11-29T06_17_33,19
2021-11-29T06_32_33,24
2021-11-29T06_47_33,26
2021-11-29T07_02_33,24
2021-11-29T07_17_33,26
2021-11-29T07_32_33,26
2021-11-29T07_47_34,23
2021-11-29T08_02_34,20
2021-11-29T08_17_34,19
2021-11-29T08_32_34,23
2021-11-29T08_47_34,21
2021-11-29T09_02_34,24
2021-11-29T09_17_34,25
2021-11-29T09_32_34,26
2021-11-29T09_47_34,24
2021-11-29T10_02_34,25
2021-11-29T10_17_34,30
2021-11-29T10_32_34,28
2021-11-29T10_47_34,26
2021-11-29T11_02_34,30
2021-11-29T11_17_34,30
2021-11-29T11_32_34,32
2021-11-29T11_47_34,29
2021-11-29T12_02_34,30
2021-11-29T12_17_34,30
2021-11-29T12_32_34,30
2021-11-29T12_47_34,28
2021-11-29T13_02_34,31
2021-11-29T13_17_34,33
2021-11-29T13_32_34,33
2021-11-29T13_47_34,33
2021-11-29T14_02_34,34
2021-11-29T14_17_34,33
2021-11-29T14_32_34,34
2021-11-29T14_47_34,34
2021-11-29T15_02_34,34
2021-11-29T15_17_34,29
2021-11-29T15_32_34,36
2021-11-29T15_47_34,39
2021-11-29T16_02_34,32
2021-11-29T16_17_34,34
2021-11-29T16_32_34,24
2021-11-29T16_47_34,32
2021-11-29T17_02_34,35
2021-11-29T17_17_34,34
2021-11-29T17_32_34,36
2021-11-29T17_47_34,34
2021-11-29T18_02_34,33
2021-11-29T18_17_34,34
2021-11-29T18_32_34,30
2021-11-29T18_47_34,31
2021-11-29T19_02_34,32
2021-11-29T19_17_34,33
2021-11-29T19_32_34,33
2021-11-29T19_47_34,28
2021-11-29T20_02_34,32
2021-11-29T20_17_34,30
2021-11-29T20_32_34,27
2021-11-29T20_47_34,31
